,cell,bounds,x0,x1,y0,y1,label,font_size,is_bold,color,text_rotation
375,SZ23,"(520, 23, 520, 23)",520,23,521,24,55,9.0,False,#ccffff,90
1692,TA23,"(521, 23, 521, 23)",521,23,522,24,0+2,9.0,False,#da9694,90
671,TB23,"(522, 23, 522, 23)",522,23,523,24,05,9.0,False,#ccffff,90
1417,TC23,"(523, 23, 523, 23)",523,23,524,24,10,9.0,False,#ccffff,90
220,TD23,"(524, 23, 524, 23)",524,23,525,24,15,9.0,False,#ccffff,90
1002,TE23,"(525, 23, 525, 23)",525,23,526,24,20,9.0,False,#ccffff,90
1651,TF23,"(526, 23, 526, 23)",526,23,527,24,25,9.0,False,#ccffff,90
55,TG23,"(527, 23, 527, 23)",527,23,528,24,30,9.0,False,#ccffff,90
1240,TH23,"(528, 23, 528, 23)",528,23,529,24,35,9.0,False,#ccffff,90
1344,TI23,"(529, 23, 529, 23)",529,23,530,24,40,9.0,False,#ccffff,90
1509,TJ23,"(530, 23, 530, 23)",530,23,531,24,45,9.0,False,#ccffff,90
1467,TK23,"(531, 23, 531, 23)",531,23,532,24,50,9.0,False,#ccffff,90
1090,TL23,"(532, 23, 532, 23)",532,23,533,24,55,9.0,False,#ccffff,90
1212,TM23,"(533, 23, 533, 23)",533,23,534,24,1+2,9.0,False,#da9694,90
1163,TN23,"(534, 23, 534, 23)",534,23,535,24,05,9.0,False,#ccffff,90
1320,TO23,"(535, 23, 535, 23)",535,23,536,24,10,9.0,False,#ccffff,90
886,TP23,"(536, 23, 536, 23)",536,23,537,24,15,9.0,False,#ccffff,90
903,TQ23,"(537, 23, 537, 23)",537,23,538,24,20,9.0,False,#ccffff,90
454,TR23,"(538, 23, 538, 23)",538,23,539,24,25,9.0,False,#ccffff,90
1178,TS23,"(539, 23, 539, 23)",539,23,540,24,30,9.0,False,#ccffff,90
738,TT23,"(540, 23, 540, 23)",540,23,541,24,35,9.0,False,#ccffff,90
694,TU23,"(541, 23, 541, 23)",541,23,542,24,40,9.0,False,#ccffff,90
298,TV23,"(542, 23, 542, 23)",542,23,543,24,45,9.0,False,#ccffff,90
967,TW23,"(543, 23, 543, 23)",543,23,544,24,50,9.0,False,#ccffff,90
588,TX23,"(544, 23, 544, 23)",544,23,545,24,55,9.0,False,#ccffff,90
542,TY23,"(545, 23, 545, 23)",545,23,546,24,2+2,9.0,False,#da9694,90
497,TZ23,"(546, 23, 546, 23)",546,23,547,24,05,9.0,False,#ccffff,90
828,UA23,"(547, 23, 547, 23)",547,23,548,24,10,9.0,False,#ccffff,90
785,UB23,"(548, 23, 548, 23)",548,23,549,24,15,9.0,False,#ccffff,90
390,UC23,"(549, 23, 549, 23)",549,23,550,24,20,9.0,False,#ccffff,90
347,UD23,"(550, 23, 550, 23)",550,23,551,24,25,9.0,False,#ccffff,90
683,UE23,"(551, 23, 551, 23)",551,23,552,24,30,9.0,False,#ccffff,90
631,UF23,"(552, 23, 552, 23)",552,23,553,24,35,9.0,False,#ccffff,90
580,UG23,"(553, 23, 553, 23)",553,23,554,24,40,9.0,False,#ccffff,90
180,UH23,"(554, 23, 554, 23)",554,23,555,24,45,9.0,False,#ccffff,90
863,UI23,"(555, 23, 555, 23)",555,23,556,24,50,9.0,False,#ccffff,90
481,UJ23,"(556, 23, 556, 23)",556,23,557,24,55,9.0,False,#ccffff,90
431,UK23,"(557, 23, 557, 23)",557,23,558,24,3+2,9.0,False,#da9694,90
39,UL23,"(558, 23, 558, 23)",558,23,559,24,05,9.0,False,#ccffff,90
1317,UM23,"(559, 23, 559, 23)",559,23,560,24,10,9.0,False,#ccffff,90
260,UN23,"(560, 23, 560, 23)",560,23,561,24,15,9.0,False,#ccffff,90
275,UO23,"(561, 23, 561, 23)",561,23,562,24,20,9.0,False,#ccffff,90
1551,UP23,"(562, 23, 562, 23)",562,23,563,24,25,9.0,False,#ccffff,90
1569,UQ23,"(563, 23, 563, 23)",563,23,564,24,30,9.0,False,#ccffff,90
108,UR23,"(564, 23, 564, 23)",564,23,565,24,35,9.0,False,#ccffff,90
64,US23,"(565, 23, 565, 23)",565,23,566,24,40,9.0,False,#ccffff,90
1403,UT23,"(566, 23, 566, 23)",566,23,567,24,45,9.0,False,#ccffff,90
1350,UU23,"(567, 23, 567, 23)",567,23,568,24,50,9.0,False,#ccffff,90
373,UV23,"(568, 23, 568, 23)",568,23,569,24,55,9.0,False,#ccffff,90
1640,UW23,"(569, 23, 569, 23)",569,23,570,24,4+2,9.0,False,#da9694,90
1264,UX23,"(570, 23, 570, 23)",570,23,571,24,05,9.0,False,#ccffff,90
285,AM24:EP24,"(39, 24, 146, 24)",39,24,147,25,Смена 1,16.0,True,#95b3d7,0
679,EQ24:IM24,"(147, 24, 247, 24)",147,24,248,25,Смена 2,16.0,True,#ffff00,0
471,B25:D26,"(2, 25, 4, 26)",2,25,5,27,Линия плавления моцареллы в воде №1,12.0,False,#ffffff,0
812,AY25:BD25,"(51, 25, 56, 25)",51,25,57,26,подача и вымешивание,12.0,False,#ffa500,0
103,BQ25:BV25,"(69, 25, 74, 25)",69,25,75,26,подача и вымешивание,12.0,False,#ffa500,0
499,CK25:CP25,"(89, 25, 94, 25)",89,25,95,26,подача и вымешивание,12.0,False,#ffa500,0
1595,DI25:DN25,"(113, 25, 118, 25)",113,25,119,26,подача и вымешивание,12.0,False,#ffa500,0
1518,EE25:EJ25,"(135, 25, 140, 25)",135,25,141,26,подача и вымешивание,12.0,False,#ffa500,0
791,EW25:FB25,"(153, 25, 158, 25)",153,25,159,26,подача и вымешивание,12.0,False,#ffa500,0
86,FO25:FT25,"(171, 25, 176, 25)",171,25,177,26,подача и вымешивание,12.0,False,#ffa500,0
1277,GG25:GL25,"(189, 25, 194, 25)",189,25,195,26,подача и вымешивание,12.0,False,#ffa500,0
138,GZ25:HE25,"(208, 25, 213, 25)",208,25,214,26,подача и вымешивание,12.0,False,#ffa500,0
227,BE26:BH26,"(57, 26, 60, 26)",57,26,61,27,1,12.0,True,#ffffff,0
772,BI26:BR26,"(61, 26, 70, 26)",61,26,71,27, 0.008/0.125,12.0,False,#ffffff,0
718,BW26:BZ26,"(75, 26, 78, 26)",75,26,79,27,2,12.0,True,#ffffff,0
12,CA26:CJ26,"(79, 26, 88, 26)",79,26,89,27, 0.125/0.1,12.0,False,#ffffff,0
238,CQ26:CT26,"(95, 26, 98, 26)",95,26,99,27,3,12.0,True,#ffffff,0
998,CU26:DF26,"(99, 26, 110, 26)",99,26,111,27, 0.1/0.2/0.125/0.008,12.0,False,#ffffff,0
477,DO26:DR26,"(119, 26, 122, 26)",119,26,123,27,4,12.0,True,#ffffff,0
615,DS26:EA26,"(123, 26, 131, 26)",123,26,132,27, 0.008,12.0,False,#ffffff,0
1280,EK26:EN26,"(141, 26, 144, 26)",141,26,145,27,5,12.0,True,#ffffff,0
1422,EO26:EW26,"(145, 26, 153, 26)",145,26,154,27, 0.008,12.0,False,#ffffff,0
1366,FC26:FF26,"(159, 26, 162, 26)",159,26,163,27,6,12.0,True,#ffffff,0
353,FG26:FO26,"(163, 26, 171, 26)",163,26,172,27, 0.008,12.0,False,#ffffff,0
1394,FU26:FX26,"(177, 26, 180, 26)",177,26,181,27,7,12.0,True,#ffffff,0
720,FY26:GG26,"(181, 26, 189, 26)",181,26,190,27, 0.008,12.0,False,#ffffff,0
668,GM26:GP26,"(195, 26, 198, 26)",195,26,199,27,8,12.0,True,#ffffff,0
799,GQ26:GY26,"(199, 26, 207, 26)",199,26,208,27, 0.008,12.0,False,#ffffff,0
65,HF26:HI26,"(214, 26, 217, 26)",214,26,218,27,9,12.0,True,#ffffff,0
781,HJ26:HR26,"(218, 26, 226, 26)",218,26,227,27, 0.008,12.0,False,#ffffff,0
968,BE27:BR27,"(57, 27, 70, 27)",57,27,71,28,плавление/формирование,12.0,False,#ffa500,0
276,BW27:CJ27,"(75, 27, 88, 27)",75,27,89,28,плавление/формирование,12.0,False,#ffa500,0
34,CQ27:DF27,"(95, 27, 110, 27)",95,27,111,28,плавление/формирование,12.0,False,#ffa500,0
1365,DO27:EA27,"(119, 27, 131, 27)",119,27,132,28,плавление/формирование,12.0,False,#ffa500,0
862,EK27:EW27,"(141, 27, 153, 27)",141,27,154,28,плавление/формирование,12.0,False,#ffa500,0
951,FC27:FO27,"(159, 27, 171, 27)",159,27,172,28,плавление/формирование,12.0,False,#ffa500,0
761,FU27:GG27,"(177, 27, 189, 27)",177,27,190,28,плавление/формирование,12.0,False,#ffa500,0
1549,GM27:GY27,"(195, 27, 207, 27)",195,27,208,28,плавление/формирование,12.0,False,#ffa500,0
253,HF27:HR27,"(214, 27, 226, 27)",214,27,227,28,плавление/формирование,12.0,False,#ffa500,0
1703,BE28:BI28,"(57, 28, 61, 28)",57,28,62,29,охлаждение,12.0,False,#ffffff,0
1138,BJ28:BM28,"(62, 28, 65, 28)",62,28,66,29,охлаждение,12.0,False,#ffffff,0
480,BW28:CA28,"(75, 28, 79, 28)",75,28,80,29,охлаждение,12.0,False,#ffffff,0
735,CB28:CK28,"(80, 28, 89, 28)",80,28,90,29,охлаждение,12.0,False,#ffffff,0
5,CQ28:CU28,"(95, 28, 99, 28)",95,28,100,29,охлаждение,12.0,False,#ffffff,0
675,CV28:DE28,"(100, 28, 109, 28)",100,28,110,29,охлаждение,12.0,False,#ffffff,0
231,DO28:DS28,"(119, 28, 123, 28)",119,28,124,29,охлаждение,12.0,False,#ffffff,0
1363,DT28:DW28,"(124, 28, 127, 28)",124,28,128,29,охлаждение,12.0,False,#ffffff,0
509,EK28:EO28,"(141, 28, 145, 28)",141,28,146,29,охлаждение,12.0,False,#ffffff,0
465,EP28:ES28,"(146, 28, 149, 28)",146,28,150,29,охлаждение,12.0,False,#ffffff,0
1144,FC28:FG28,"(159, 28, 163, 28)",159,28,164,29,охлаждение,12.0,False,#ffffff,0
1263,FH28:FK28,"(164, 28, 167, 28)",164,28,168,29,охлаждение,12.0,False,#ffffff,0
1169,FU28:FY28,"(177, 28, 181, 28)",177,28,182,29,охлаждение,12.0,False,#ffffff,0
586,FZ28:GC28,"(182, 28, 185, 28)",182,28,186,29,охлаждение,12.0,False,#ffffff,0
424,GM28:GQ28,"(195, 28, 199, 28)",195,28,200,29,охлаждение,12.0,False,#ffffff,0
1548,GR28:GU28,"(200, 28, 203, 28)",200,28,204,29,охлаждение,12.0,False,#ffffff,0
